route_name,min median travel time,max median travel time,Peak time to best ratio,min iq travel time,max iq travel time,Peak iq to best ratio,all times,min median travel hour,max median travel hour,min iq travel hour,max iq travel hour,total obvs,Mean excess time ratio,Mean excess time ratio - weighted,Mean excess iq ratio,Mean excess iq ratio - weighted,distance
12 - A9 to M7,00:15:27,00:20:13,1.309,00:03:38,00:17:28,4.802,FALSE,2,8,2,8,462650,1.118,1.136,2.314,2.473,17120.1
12 - M7 to A9,00:15:56,00:20:13,1.269,00:05:30,00:17:46,3.234,TRUE,3,16,0,16,574550,1.128,1.145,1.749,1.812,17103.7
13-49 - Monash Freeway to South Gippsland Highway,00:13:40,00:17:02,1.246,00:04:02,00:09:31,2.356,FALSE,5,17,5,17,305253,1.112,1.114,1.764,1.776,14832.5
13-49 - South Gippsland Highway to Monash Freeway,00:17:49,00:22:02,1.237,00:06:35,00:13:10,1.998,FALSE,5,1,5,2,404253,1.139,1.147,1.571,1.61,18192.2
15 - Beach Road to Surrey Hills,00:20:34,00:30:55,1.503,00:06:12,00:25:24,4.098,FALSE,3,17,5,8,489428,1.17,1.222,1.872,2.167,18873.8
15 - Surrey Hills to Beach Road,00:19:41,00:28:59,1.473,00:05:16,00:20:21,3.858,FALSE,1,8,23,8,380683,1.2,1.263,2.143,2.54,18876
22 - Ferntree Gully to M1,00:12:18,00:18:03,1.467,00:04:46,00:19:02,3.995,TRUE,4,8,4,8,420620,1.174,1.201,1.826,2.095,12560.6
22 - M1 to Ferntree Gully,00:13:01,00:15:49,1.215,00:04:33,00:12:17,2.704,TRUE,4,17,4,17,476519,1.112,1.108,1.687,1.735,12612.4
3 - Albert Park to Cheltenham,00:14:39,00:23:09,1.58,00:04:05,00:20:39,5.054,TRUE,4,16,4,16,1380289,1.25,1.316,2.542,3,16070.9
3 - Cheltenham to Albert Park,00:15:30,00:23:28,1.514,00:04:26,00:20:06,4.538,TRUE,2,8,2,8,1436961,1.231,1.264,2.329,2.528,16017.7
32 - Derrimut to Montrose,01:05:50,01:31:00,1.382,00:33:14,01:39:49,3.003,TRUE,4,15,4,15,1009987,1.217,1.251,1.967,2.195,52850.2
32 - Montrose to Derrimut,01:12:04,01:27:00,1.207,00:50:13,01:29:05,1.774,TRUE,4,15,5,15,947141,1.127,1.15,1.373,1.46,52915
35 - Hume Highway to M80,00:08:37,00:15:15,1.769,00:03:06,00:17:39,5.682,FALSE,4,16,4,16,939431,1.233,1.297,2.75,3.098,8320.5
35 - M80 to Hume Highway,00:08:32,00:17:03,1.997,00:03:06,00:25:20,8.162,FALSE,2,16,2,16,598976,1.28,1.347,2.905,3.44,8288.699999999999
40 - Doncaster to M2,00:20:46,00:31:31,1.518,00:07:38,00:29:58,3.924,FALSE,3,16,0,16,522360,1.228,1.306,2.135,2.666,18618.7
40 - M2 to Doncaster,00:19:57,00:30:55,1.55,00:05:33,00:29:10,5.258,FALSE,4,8,4,16,515216,1.264,1.319,2.838,3.186,18627.6
55 - Hume Freeway to Montague Street,00:33:18,00:48:38,1.46,00:19:43,01:47:57,5.474,TRUE,4,10,5,10,1136910,1.215,1.328,2.36,3.252,28021.4
55 - Montague St to Hume Freeway,00:33:42,00:51:28,1.527,00:17:18,01:32:05,5.324,TRUE,4,16,4,10,1205274,1.24,1.344,2.685,3.53,27985.3
56 - Laverton to Spotswood,00:12:36,00:15:49,1.254,00:05:32,00:14:06,2.552,TRUE,22,8,22,8,298501,1.101,1.125,1.442,1.648,9142.5
56 - Spotswood to Laverton,00:12:41,00:17:40,1.392,00:05:54,00:25:19,4.289,TRUE,19,8,4,8,256357,1.153,1.218,2.001,2.461,9139.8
58 - Greenvale to Yan Yean Road,00:26:02,00:37:29,1.44,00:15:31,00:40:18,2.597,TRUE,21,15,21,15,237180,1.164,1.22,1.589,1.783,22317.5
58 - Yan Yean Road to Greenvale,00:24:47,00:36:37,1.478,00:13:59,00:46:56,3.355,TRUE,3,15,3,17,297837,1.201,1.259,1.716,1.908,22164.9
A1 - Artarmon to Wahroonga,00:15:31,00:22:55,1.477,00:04:05,00:18:21,4.485,TRUE,1,8,0,16,903591,1.224,1.276,2.638,3.029,13502
A1 - Wahroonga to Artarmon,00:15:40,00:22:29,1.434,00:04:42,00:17:38,3.752,TRUE,23,8,23,8,877174,1.169,1.193,2.141,2.283,13480.4
A14 - Port Road to Southern Expressway,00:17:42,00:23:12,1.312,00:07:09,00:18:08,2.536,TRUE,5,3,5,3,285462,1.185,1.19,1.682,1.671,15004.2
A14 - Southern Expressway to Port Road,00:18:21,00:24:42,1.346,00:05:54,00:17:50,3.025,TRUE,5,16,5,8,398077,1.193,1.239,2.19,2.381,15044.8
A15 - ANZAC Highway to Port Road,00:13:26,00:17:42,1.318,00:02:55,00:09:32,3.273,TRUE,5,16,6,11,468427,1.133,1.174,2.223,2.588,13059.9
A15 - Port Road to ANZAC Highway,00:13:56,00:20:10,1.447,00:03:10,00:13:41,4.32,TRUE,5,2,5,2,447657,1.13,1.121,2.042,1.939,13032.4
A16 - Hampstead Road to Outer Harbor,00:23:56,00:28:11,1.177,00:08:32,00:16:58,1.988,TRUE,5,16,5,16,697685,1.074,1.086,1.354,1.44,20742.9
A16 - Outer Harbor to Hampstead Road,00:24:03,00:27:28,1.142,00:08:40,00:14:02,1.621,TRUE,4,17,5,17,883480,1.059,1.081,1.271,1.367,20805
A17 - Grand Junction Road to South Eastern Freeway,00:14:27,00:18:53,1.307,00:02:07,00:10:30,4.969,FALSE,4,8,4,8,676689,1.136,1.146,2.71,2.855,13617
