hour,LQ_est,med_est,UQ_est,LQ_est_char,med_est_char,UQ_est_char,n_obvs,route_name
0,1171.371744518652,965.4694126544186,856.3294910727408,20m31.3717445s,16m5.46941265s,14m16.3294911s,29097,12 - A9 to M7
1,1242.984547434669,1008.5508814225012,845.0916684985831,21m42.9845474s,17m48.5508814s,14m5.0916685s,6219,12 - A9 to M7
2,1075.6178190531916,926.8080104231244,857.3169567373003,18m55.6178191s,15m26.8080104s,14m17.3169567s,8988,12 - A9 to M7
3,1219.8175286878757,956.5996059569308,857.6791148891791,20m19.8175287s,16m56.599606s,14m17.6791149s,1959,12 - A9 to M7
4,1280.297936051628,946.4132619800062,840.7438984725296,21m20.2979361s,16m46.413262s,14m0.743898473s,3103,12 - A9 to M7
5,1299.0281022038537,998.9538775665052,875.9088169655272,22m39.0281022s,17m38.9538776s,15m35.908817s,14183,12 - A9 to M7
6,1583.9948778318897,1078.5834808653815,898.1070089814315,26m23.9948778s,18m58.5834809s,15m58.107009s,25629,12 - A9 to M7
7,1659.118041405663,1106.6087841108294,906.52600917424,28m39.1180414s,18m26.6087841s,15m6.52600917s,31986,12 - A9 to M7
8,1978.513484227348,1213.3492276791164,930.2555470651472,33m58.5134842s,20m13.3492277s,16m30.2555471s,26271,12 - A9 to M7
9,1440.5518659075944,1050.2059511374505,896.5790191961154,24m0.551865908s,18m30.2059511s,15m56.5790192s,24012,12 - A9 to M7
10,1372.8767616727166,1028.2087522724155,885.0352382711119,23m52.8767617s,17m8.20875227s,15m45.0352383s,23003,12 - A9 to M7
11,1383.0235196049664,1026.3438108926102,890.7854455884825,23m3.0235196s,17m6.34381089s,15m50.7854456s,25828,12 - A9 to M7
12,1403.1727261244534,1047.985349518402,902.1257150386756,23m23.1727261s,17m27.9853495s,15m2.12571504s,22328,12 - A9 to M7
13,1438.9623350033714,1046.4163629218897,893.3909139629163,24m58.962335s,17m26.4163629s,15m53.390914s,27988,12 - A9 to M7
14,1497.3286822259947,1074.9109438216212,914.1492344651116,25m57.3286822s,18m54.9109438s,15m14.1492345s,24458,12 - A9 to M7
15,1628.9020140930277,1123.350178822281,938.250096016994,27m8.90201409s,19m43.3501788s,16m38.250096s,21257,12 - A9 to M7
16,1552.5840946227845,1121.1254803378145,949.8365925588112,26m52.5840946s,19m41.1254803s,16m49.8365926s,29440,12 - A9 to M7
17,1611.649069468513,1137.885855103475,960.2256948704947,27m51.6490695s,19m57.8858551s,16m0.22569487s,21215,12 - A9 to M7
18,1415.4471201599474,1053.5366326362662,907.4965332847672,24m35.4471202s,18m33.5366326s,15m7.49653328s,6512,12 - A9 to M7
19,1257.758361549966,980.918391034824,871.8922297099432,21m57.7583615s,16m20.918391s,15m31.8922297s,11109,12 - A9 to M7
20,1317.9868178950078,1002.1357362608782,878.6111666294045,22m57.9868179s,17m42.1357363s,15m38.6111666s,8813,12 - A9 to M7
