route_name,route_geom
A14 - Port Road to Southern Expressway,"LINESTRING (138.5511 -34.89179, 138.5521 -34.90452, 138.5482 -34.91366, 138.5491 -34.92443, 138.552 -34.92467, 138.5595 -35.02318)"
M420 - Monash Freeway to South Gippsland Highway,"LINESTRING (145.2537 -37.99518, 145.2527 -37.99828, 145.2518 -38.00548, 145.2503 -38.01255, 145.2472 -38.02503, 145.2469 -38.02748, 145.2473 -38.03244)"
A16 - Outer Harbor to Hampstead Road,"LINESTRING (138.49 -34.7772, 138.4991 -34.78164, 138.5009 -34.78348, 138.5016 -34.78561, 138.5013 -34.81958, 138.4997 -34.82331, 138.5019 -34.83337, 138.502 -34.83684, 138.503 -34.838, 138.5023 -34.83913, 138.4928 -34.84073, 138.4947 -34.84901, 138.4952 -34.85192, 138.5136 -34.85234, 138.5633 -34.84966, 138.5778 -34.8496, 138.5843 -34.8488, 138.6165 -34.84721)"
A14 - Southern Expressway to Port Road,"LINESTRING (138.5593 -35.0234, 138.5519 -34.92467, 138.549 -34.92481, 138.5481 -34.91394, 138.552 -34.90402, 138.5511 -34.89169)"
A15 - ANZAC Highway to Port Road,"LINESTRING (138.5198 -34.9762, 138.5171 -34.97196, 138.5166 -34.96188, 138.514 -34.95833, 138.5182 -34.95215, 138.5176 -34.92628, 138.5129 -34.9161, 138.5146 -34.9063, 138.5118 -34.86558, 138.5145 -34.86344)"
A15 - Port Road to ANZAC Highway,"LINESTRING (138.5144 -34.86361, 138.5119 -34.86562, 138.5147 -34.90642, 138.513 -34.91609, 138.5177 -34.92627, 138.5183 -34.95215, 138.5141 -34.95822, 138.5167 -34.96184, 138.5173 -34.97196, 138.52 -34.97627)"
A16 - Hampstead Road to Outer Harbor,"LINESTRING (138.6168 -34.84735, 138.585 -34.84886, 138.5778 -34.84972, 138.5631 -34.84983, 138.5034 -34.85259, 138.495 -34.85202, 138.4947 -34.84901, 138.4927 -34.84048, 138.4945 -34.8406, 138.5021 -34.83904, 138.5026 -34.83808, 138.5017 -34.83675, 138.5017 -34.83343, 138.4996 -34.82333, 138.5011 -34.8197, 138.5014 -34.78568, 138.5009 -34.78375, 138.4992 -34.78189, 138.4908 -34.77776)"
A17 - Grand Junction Road to South Eastern Freeway,"LINESTRING (138.6173 -34.84763, 138.6199 -34.88191, 138.6392 -34.89683, 138.6443 -34.96283)"
A17 - South Eastern Freeway to Grand Junction Road,"LINESTRING (138.6442 -34.96287, 138.6391 -34.89709, 138.6198 -34.88197, 138.6172 -34.84772)"
A2-M2 - Main South Road to Port River Expressway,"LINESTRING (138.5073 -35.16662, 138.505 -35.13111, 138.5098 -35.10618, 138.5217 -35.09378, 138.5431 -35.08386, 138.5469 -35.05086, 138.5573 -35.03789, 138.5552 -35.03004, 138.5585 -35.02441, 138.5649 -35.02139, 138.5756 -35.01052, 138.5696 -34.92189, 138.5644 -34.91165, 138.5716 -34.87681, 138.5703 -34.86517, 138.565 -34.85666, 138.5628 -34.83546)"
A2-M2 - Port River Expressway to Main South Road,"LINESTRING (138.563 -34.8355, 138.5652 -34.85663, 138.5705 -34.86494, 138.5716 -34.87637, 138.5717 -34.88515, 138.5646 -34.91173, 138.5698 -34.92318, 138.5759 -35.01017, 138.5651 -35.02151, 138.5587 -35.02446, 138.5554 -35.03004, 138.5575 -35.03827, 138.547 -35.05127, 138.5434 -35.08384, 138.5218 -35.09387, 138.51 -35.10617, 138.5052 -35.13175, 138.5085 -35.16467)"
A20 - Grand Junction Road to Sturt Highway,"LINESTRING (138.6006 -34.84745, 138.6159 -34.82624, 138.6788 -34.75398, 138.673 -34.71616, 138.7063 -34.66111, 138.7307 -34.63153, 138.7237 -34.60951, 138.7265 -34.59799, 138.7308 -34.59181)"
A20 - Sturt Highway to Grand Junction Road,"LINESTRING (138.7314 -34.59028, 138.7238 -34.61001, 138.7311 -34.62682, 138.7308 -34.63181, 138.7065 -34.66116, 138.674 -34.71475, 138.6789 -34.75419, 138.6162 -34.82624, 138.6007 -34.84767)"
A22 - Park Terrace to Port Wakefield Road,"LINESTRING (138.5878 -34.89916, 138.5853 -34.89727, 138.5823 -34.84887, 138.5947 -34.83856, 138.5985 -34.83742)"
A22 - Port Wakefield Road to Park Terrace,"LINESTRING (138.5987 -34.8375, 138.5948 -34.83871, 138.5825 -34.84883, 138.5854 -34.89712, 138.5876 -34.89887)"
A3 - ANZAC Highway to South Eastern Freeway,"LINESTRING (138.5487 -34.96846, 138.6438 -34.96342)"
A3 - South Eastern Freeway to ANZAC Highway,"LINESTRING (138.6437 -34.96369, 138.5485 -34.96853)"
A9 - Nelson St to Port Wakefield Road,"LINESTRING (138.5027 -34.83774, 138.509 -34.83878, 138.5117 -34.84087, 138.5136 -34.84122, 138.5219 -34.8386, 138.5295 -34.83512, 138.5333 -34.83429, 138.5661 -34.83215, 138.5809 -34.83252, 138.5841 -34.83064, 138.5875 -34.82214, 138.597 -34.81202)"
A9 - Port Wakefield Road to Nelson Street,"LINESTRING (138.5971 -34.8121, 138.5876 -34.82231, 138.5846 -34.83032, 138.5812 -34.83264, 138.5664 -34.83271, 138.5333 -34.83442, 138.5296 -34.83521, 138.5219 -34.83868, 138.5135 -34.84133, 138.5117 -34.84097, 138.5089 -34.83886, 138.5056 -34.838, 138.5031 -34.83806)"
M1 - Bruce Highway to Pacific Motorway,"LINESTRING (153.0195 -27.30309, 153.0399 -27.31252, 153.0469 -27.3133, 153.0525 -27.33561, 153.0738 -27.33883, 153.0794 -27.3538, 153.0913 -27.35768, 153.0975 -27.36536, 153.0939 -27.40117, 153.0876 -27.41059, 153.0871 -27.4166, 153.1062 -27.45461, 153.1168 -27.46817, 153.1172 -27.47863, 153.1262 -27.49725, 153.1231 -27.53166, 153.1076 -27.56401, 153.108 -27.57024, 153.1035 -27.58104)"
M1 - Pacific Motorway to Bruce Highway,"LINESTRING (153.1044 -27.57958, 153.1076 -27.56362, 153.1229 -27.53166, 153.1259 -27.49686, 153.117 -27.47858, 153.1166 -27.46841, 153.1057 -27.45422, 153.0869 -27.41651, 153.0874 -27.41053, 153.0937 -27.40108, 153.0972 -27.3653, 153.091 -27.35781, 153.079 -27.35376, 153.0736 -27.33891, 153.0521 -27.33548, 153.0468 -27.31351, 153.0401 -27.31275, 153.0193 -27.30319)"
M2 (North) - Logan Motorway to Pacific Motorway,"LINESTRING (153.0611 -27.64168, 153.0616 -27.63728, 153.065 -27.63092, 153.0665 -27.62418, 153.0689 -27.62207, 153.0748 -27.62077, 153.0774 -27.61902, 153.0786 -27.61676, 153.0788 -27.61277, 153.0797 -27.61049, 153.0835 -27.60703, 153.0869 -27.60271, 153.0928 -27.59895, 153.0939 -27.59706, 153.0956 -27.59046, 153.103 -27.58144)"
M2 (North) - Pacific Motorway to Logan Motorway,"LINESTRING (153.1026 -27.58213, 153.0958 -27.59051, 153.094 -27.59712, 153.0929 -27.59907, 153.0871 -27.60282, 153.0837 -27.60738, 153.0798 -27.61069, 153.079 -27.61264, 153.0787 -27.61683, 153.0775 -27.61915, 153.0748 -27.62098, 153.0691 -27.6222, 153.0667 -27.62417, 153.0658 -27.62629, 153.0653 -27.63082, 153.0618 -27.63733, 153.0614 -27.64167)"
M2 (West) - Gateway Motorway to Ipswich Motorway,"LINESTRING (153.0613 -27.64124, 153.0611 -27.64715, 153.0593 -27.64876, 153.0568 -27.64927, 153.0497 -27.64776, 153.0416 -27.64706, 153.0366 -27.64557, 153.001 -27.64035, 152.9973 -27.64036, 152.9903 -27.64183, 152.9836 -27.64113, 152.981 -27.64015, 152.9766 -27.63708, 152.9736 -27.63573, 152.9659 -27.63389, 152.9562 -27.63302, 152.9474 -27.63039, 152.9451 -27.62865, 152.9408 -27.62372, 152.9379 -27.61866, 152.9339 -27.61389, 152.9278 -27.61098, 152.9218 -27.60645)"
M2 (West) - Ipswich Motorway to Gateway,"LINESTRING (152.9215 -27.60609, 152.9278 -27.61079, 152.9342 -27.61387, 152.9382 -27.61877, 152.9409 -27.62359, 152.9473 -27.63016, 152.9565 -27.63289, 152.9662 -27.63375, 152.9736 -27.63553, 152.9828 -27.64056, 152.9903 -27.64156, 152.9973 -27.64018, 153.0005 -27.64012, 153.0365 -27.64537, 153.0422 -27.64693, 153.0469 -27.64678, 153.055 -27.64805, 153.0577 -27.64758, 153.0597 -27.64623, 153.0609 -27.64424, 153.0611 -27.64158)"
M3 (South) - Inner City Bypass to Pacific Motorway,"LINESTRING (153.0311 -27.448, 153.03 -27.45006, 153.0249 -27.45249, 153.0217 -27.45674, 153.0131 -27.45787, 153.0115 -27.46174, 153.0112 -27.46828, 153.0176 -27.46759, 153.0225 -27.47188, 153.0308 -27.48268, 153.0338 -27.4913, 153.0398 -27.49873, 153.0395 -27.51014, 153.0419 -27.51359, 153.0503 -27.51814, 153.055 -27.52383, 153.0597 -27.54024, 153.0621 -27.54443, 153.0766 -27.56107, 153.0979 -27.5743, 153.1029 -27.58084)"
M3 (South) - Pacific Motorway to Inner City Bypass,"LINESTRING (153.1027 -27.58082, 153.0973 -27.57407, 153.077 -27.5616, 153.0629 -27.54566, 153.0593 -27.53968, 153.0549 -27.52412, 153.0505 -27.51861, 153.0416 -27.51367, 153.0393 -27.51034, 153.0395 -27.49878, 153.0335 -27.49197, 153.0307 -27.48276, 153.0178 -27.46801, 153.0107 -27.46834, 153.0129 -27.45798, 153.0218 -27.45651, 153.0249 -27.45232, 153.03 -27.44998, 153.031 -27.44793)"
M3-A3 - Airport Link to M1,"LINESTRING (153.0324 -27.40931, 153.0314 -27.3901, 153.0292 -27.3791, 153.0175 -27.36831, 153.0168 -27.35715, 153.01 -27.33828, 153.0133 -27.32164, 153.0116 -27.312, 153.0166 -27.30008)"
M3-A3 - M1 to Airport Link,"LINESTRING (153.0167 -27.30016, 153.0118 -27.31202, 153.0135 -27.32133, 153.0102 -27.33838, 153.017 -27.35713, 153.0176 -27.36812, 153.0295 -27.37925, 153.0315 -27.39013, 153.0325 -27.40932)"
M4 - Gateway Motorway to Port of Brisbane,"LINESTRING (153.1112 -27.45491, 153.115 -27.45135, 153.1321 -27.4456, 153.1342 -27.44439, 153.1363 -27.44176, 153.1409 -27.43295, 153.1454 -27.42669, 153.1474 -27.42493, 153.1515 -27.42371, 153.157 -27.42445, 153.1597 -27.42421, 153.1625 -27.42288, 153.1656 -27.42001, 153.167 -27.41709, 153.1672 -27.4144, 153.1646 -27.39881, 153.1629 -27.3958, 153.1628 -27.39385, 153.1634 -27.39042, 153.1691 -27.3819)"
M4 - Port of Brisbane to Gateway Motorway,"LINESTRING (153.1692 -27.38197, 153.1639 -27.39025, 153.1654 -27.40445, 153.1674 -27.41449, 153.167 -27.41744, 153.1658 -27.41997, 153.1626 -27.42291, 153.16 -27.42425, 153.1571 -27.42456, 153.151 -27.42389, 153.1473 -27.42521, 153.1411 -27.43299, 153.1365 -27.44163, 153.1343 -27.44451, 153.132 -27.44577, 153.1148 -27.45168, 153.1128 -27.45306, 153.1109 -27.4557)"
M5 - Bowen Hills to Logan Motorway,"LINESTRING (153.0311 -27.44796, 153.03 -27.45006, 153.0249 -27.45249, 153.0219 -27.45663, 153.0084 -27.45817, 152.9874 -27.47291, 152.9694 -27.4827, 152.9671 -27.48511, 152.9667 -27.49202, 152.9628 -27.50091, 152.9631 -27.5061, 152.9589 -27.51027, 152.9553 -27.51695, 152.9484 -27.52116, 152.9467 -27.5377, 152.9417 -27.54712, 152.94 -27.55951, 152.9476 -27.58241, 152.9483 -27.59107, 152.9444 -27.60301, 152.9424 -27.62126)"
M5 - Logan Motorway to Bowen Hills,"LINESTRING (152.9418 -27.62119, 152.9443 -27.60301, 152.9482 -27.5909, 152.9474 -27.58229, 152.9447 -27.57755, 152.9436 -27.56848, 152.9398 -27.55951, 152.9416 -27.54709, 152.9465 -27.53765, 152.9464 -27.53106, 152.9484 -27.52093, 152.9547 -27.51738, 152.9587 -27.51024, 152.9631 -27.50595, 152.9626 -27.50072, 152.9665 -27.49202, 152.967 -27.48505, 152.9693 -27.48262, 152.9872 -27.47289, 153.0083 -27.45807, 153.0218 -27.45651, 153.025 -27.45218, 153.03 -27.44998, 153.0311 -27.44745)"
M6 - Gateway Motorway to Pacific Motorway,"LINESTRING (153.0649 -27.64883, 153.0771 -27.65613, 153.0929 -27.66003, 153.1042 -27.6661, 153.1071 -27.66709, 153.1214 -27.66849, 153.1386 -27.66512, 153.1529 -27.66683, 153.1618 -27.66696, 153.1651 -27.66927, 153.1672 -27.67642, 153.1726 -27.68269, 153.1758 -27.68412, 153.1891 -27.68578, 153.1907 -27.68711, 153.1922 -27.69054)"
M6 - Pacific Motorway to Gateway Motorway,"LINESTRING (153.1919 -27.69065, 153.1898 -27.68729, 153.1883 -27.68614, 153.1756 -27.68425, 153.1725 -27.68283, 153.1671 -27.67654, 153.1651 -27.66951, 153.1619 -27.66715, 153.1596 -27.66672, 153.1528 -27.66699, 153.1385 -27.66534, 153.1215 -27.66866, 153.107 -27.66727, 153.1041 -27.66624, 153.0933 -27.66031, 153.0769 -27.6562, 153.0647 -27.64891)"
M7-A7 - Logan Motorway to Southern Cross Way,"LINESTRING (152.9203 -27.60056, 152.9227 -27.59474, 152.9289 -27.58578, 152.9387 -27.57934, 152.9735 -27.56756, 152.989 -27.5643, 153.0078 -27.55653, 153.0102 -27.54593, 153.0128 -27.54174, 153.0144 -27.53565, 153.0295 -27.5179, 153.0345 -27.50635, 153.0352 -27.49769, 153.0332 -27.49003, 153.036 -27.48351, 153.0352 -27.46102, 153.0312 -27.43714, 153.0335 -27.42371, 153.0364 -27.4179, 153.0456 -27.41164, 153.052 -27.41034, 153.0655 -27.41217, 153.0691 -27.41106)"
M7-A7 - Southern Cross Way to Logan Motorway,"LINESTRING (153.07 -27.41089, 153.0658 -27.41229, 153.059 -27.41101, 153.0477 -27.41102, 153.0377 -27.41724, 153.0347 -27.42125, 153.0316 -27.43642, 153.0318 -27.44336, 153.0354 -27.46168, 153.0361 -27.48389, 153.0334 -27.49013, 153.0349 -27.49598, 153.0346 -27.50641, 153.0297 -27.51789, 153.0145 -27.53562, 153.0129 -27.54177, 153.0103 -27.54565, 153.0083 -27.55631, 152.9895 -27.56427, 152.9736 -27.56762, 152.9386 -27.57957, 152.9287 -27.58631, 152.9205 -27.60064)"
Route 2 - A7 to Gateway,"LINESTRING (153.0106 -27.55689, 153.0216 -27.55853, 153.0265 -27.55721, 153.0378 -27.55933, 153.0437 -27.55769, 153.0741 -27.56189, 153.0841 -27.55874, 153.0917 -27.55501, 153.0965 -27.55524, 153.0998 -27.55446, 153.1109 -27.54669, 153.116 -27.54514)"
Route 2 - Gateway to A7,"LINESTRING (153.1162 -27.54525, 153.1109 -27.54683, 153.0999 -27.55454, 153.0966 -27.55535, 153.0917 -27.55512, 153.0842 -27.55885, 153.074 -27.56203, 153.0436 -27.55782, 153.0378 -27.55944, 153.0265 -27.5573, 153.0216 -27.55868, 153.011 -27.55709)"
